NAME                          READY   UP-TO-DATE   AVAILABLE   AGE
deployment.apps/productpage   1/1     1            1           70m

NAME                  TYPE        CLUSTER-IP    EXTERNAL-IP   PORT(S)    AGE
service/productpage   ClusterIP   10.96.111.8   <none>        9080/TCP   70m

NAME                               READY   STATUS               RESTARTS   AGE
pod/loadgen-exp-030848-2gvdw       0/2     ContainerCannotRun   0          25m
pod/loadgen-exp-030848-2wpjt       0/2     ContainerCannotRun   0          35m
pod/loadgen-exp-030848-9ct5t       0/2     ContainerCannotRun   0          31m
pod/loadgen-exp-030848-gwl4k       0/2     ContainerCannotRun   0          33m
pod/loadgen-exp-030848-h5nln       0/2     ContainerCannotRun   0          36m
pod/loadgen-exp-030848-lm49t       0/2     ContainerCannotRun   0          36m
pod/loadgen-exp-030848-m594p       0/2     ContainerCannotRun   0          36m
pod/loadgen-exp-031113-8c69j       0/2     ContainerCannotRun   0          34m
pod/loadgen-exp-031113-9rqlx       0/2     ContainerCannotRun   0          31m
pod/loadgen-exp-031113-cvxk6       0/2     ContainerCannotRun   0          23m
pod/loadgen-exp-031113-qm8pz       0/2     ContainerCannotRun   0          34m
pod/loadgen-exp-031113-w6zjb       0/2     ContainerCannotRun   0          28m
pod/loadgen-exp-031113-w7pgh       0/2     ContainerCannotRun   0          33m
pod/loadgen-exp-031113-zjj5g       0/2     ContainerCannotRun   0          32m
pod/loadgen-exp-032111-4p74s       0/2     ContainerCannotRun   0          24m
pod/loadgen-exp-032111-622fj       0/2     ContainerCannotRun   0          22m
pod/loadgen-exp-032111-9cjpz       0/2     ContainerCannotRun   0          24m
pod/loadgen-exp-032111-d6x57       0/2     ContainerCannotRun   0          13m
pod/loadgen-exp-032111-f4w56       0/2     ContainerCannotRun   0          18m
pod/loadgen-exp-032111-r5f5f       0/2     ContainerCannotRun   0          23m
pod/loadgen-exp-032111-scg4x       0/2     ContainerCannotRun   0          21m
pod/loadgen-exp-033734-qnzsc       0/2     Completed            0          7m58s
pod/loadgen-exp-034352-nnzsm       0/2     Completed            0          100s
pod/loadgen-wkbck                  0/2     Completed            0          9m15s
pod/productpage-7fbc6479cb-pwnnp   2/2     Running              0          37m
